"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"1180","212509_s_at",-1.14027662338979,11.4777144159116,-4.23244751940535,0.000279876880085439,0.00712727918894801,0.310926164661844,"MXRA7","matrix remodeling associated 7"
"1580","219329_s_at",-1.10705839866701,8.29813401537209,-4.2322032239641,0.000280052378683039,0.00712842821438322,0.310328004692471,"ATRAID","all-trans retinoic acid induced differentiation factor"
"1560","218824_at",-1.19558076089538,11.7343756713301,-4.23190606941899,0.000280265997910311,0.00713054603803921,0.309600424433197,"PNMA8A","PNMA family member 8A"
"1182","212525_s_at",1.87550494841428,5.49807100798527,4.23129115704433,0.000280708561840897,0.00713546008597821,0.308094837136316,"H2AX","H2A.X variant histone"
"2225","232537_x_at",1.17536177503197,5.76939942579374,4.23127505776247,0.000280720158115027,0.00713546008597821,0.308055419082089,NA,NA
"842","208477_at",1.65664536966471,6.907904243326,4.23074090345624,0.000281105178096204,0.00714192639981876,0.306747587274976,"KCNC1","potassium voltage-gated channel subfamily C member 1"
"80","1556049_at",1.80533420005033,6.56542901112295,4.22994483089073,0.000281679963087568,0.00714325231067382,0.304798508880078,NA,NA
"1901","225463_x_at",-1.17505391288126,7.96145625110975,-4.2302732459034,0.000281442697630988,0.00714325231067382,0.305602584061027,NA,NA
"2366","236462_at",1.63450931867768,6.9449602562983,4.23025666816686,0.000281454669560648,0.00714325231067382,0.305561995758708,NA,NA
"2563","240969_at",1.76470694863944,4.89917385728026,4.22997467929292,0.000281658390719598,0.00714325231067382,0.304871587919568,NA,NA
"1013","210337_s_at",-2.04566218532712,4.36586690071506,-4.22852597898016,0.000282707306772597,0.00716598145470178,0.30132475121113,"ACLY","ATP citrate lyase"
"494","201740_at",-1.49890830063844,9.04631647408077,-4.22777547314221,0.00028325222720376,0.00717646687783391,0.299487355979252,"NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3"
"1797","223780_s_at",2.48474870910052,4.24585814817623,4.22623324761489,0.000284375268776176,0.00720158305712712,0.295711793811117,NA,NA
"618","203109_at",-2.56448599591104,5.20256829974445,-4.22558590214269,0.000284847979457923,0.00721021448002869,0.294127062220605,"UBE2M","ubiquitin conjugating enzyme E2 M"
"2728","244014_x_at",1.33047821433372,5.23675822541829,4.22529881108909,0.00028505787149845,0.00721218839619516,0.293424259853843,NA,NA
"2479","239250_at",0.958854327527812,7.16894613050818,4.22491504226595,0.000285338684497098,0.0072159540124324,0.292484798535722,NA,NA
"1774","223209_s_at",-1.41871001014145,7.92034145049721,-4.22470648395669,0.00028549140689822,0.00721647835051327,0.291974254893379,NA,NA
"1935","225935_at",1.19845416622508,7.70817819777823,4.22403074820765,0.00028598679032415,0.00722232229144245,0.290320098621894,NA,NA
"2734","244099_at",-1.33794224500216,7.47362374579089,-4.22407757497578,0.000285952434000778,0.00722232229144245,0.290434726365719,NA,NA
"1350","214715_x_at",1.67942751408458,10.7459509468705,4.22380664761251,0.000286151267414271,0.00722313967953614,0.289771522613316,"ZNF160","zinc finger protein 160"
"95","1556437_at",2.42803824073996,3.5167695906824,4.22285417056514,0.000286851380190494,0.00722746507461533,0.287439994412173,NA,NA
"221","1563431_x_at",1.54517264107705,9.85487648935305,4.22290848974999,0.000286811407484466,0.00722746507461533,0.287572958254343,NA,NA
"513","201936_s_at",0.91521791396563,9.66940611816117,4.22320172311151,0.000286595716792404,0.00722746507461533,0.28829074585628,"EIF4G3","eukaryotic translation initiation factor 4 gamma 3"
"2708","243739_at",3.13918330745193,5.39203060937022,4.22289943709873,0.000286818068816033,0.00722746507461533,0.287550798935978,NA,NA
"143","1558407_at",1.32962110487129,6.64042983125471,4.22265033114017,0.000287001432030777,0.00722791492228592,0.286941033164372,NA,NA
"898","208933_s_at",-0.98510148260209,8.52938868446637,-4.22243880718682,0.000287157223079534,0.00722850882682942,0.286423264835727,"LGALS8","galectin 8"
"1452","216858_x_at",1.86806469877079,9.28150641819442,4.22158661497159,0.00028778572859642,0.00724099618546216,0.284337302049899,NA,NA
"2443","238594_x_at",1.42620078268508,7.44537981436895,4.22131583840213,0.000287985716539362,0.00724269505602099,0.283674516931071,NA,NA
"256","1567105_at",1.60014120101373,2.4707247061218,4.21961000227274,0.000289248776257932,0.00724856613132075,0.279499232622895,NA,NA
"574","202548_s_at",-1.13197373565651,9.28758498515966,-4.22027398574751,0.000288756487490457,0.00724856613132075,0.281124404123557,"ARHGEF7","Rho guanine nucleotide exchange factor 7"
"908","209013_x_at",1.14723753420463,8.223864773056,4.219853276114,0.000289068312181776,0.00724856613132075,0.280094667930817,"TRIO","trio Rho guanine nucleotide exchange factor"
"1002","210036_s_at",0.971052797273884,8.35725948021938,4.21986959615911,0.000289056209737551,0.00724856613132075,0.280134612912562,"KCNH2","potassium voltage-gated channel subfamily H member 2"
"1410","215600_x_at",1.53456127369785,10.2577071246079,4.219389636718,0.000289412343203899,0.00724856613132075,0.278959871247018,"FBXW12","F-box and WD repeat domain containing 12"
"1920","225662_at",1.44495840185632,8.52023286136106,4.22031468473251,0.000288726339640439,0.00724856613132075,0.281224020357772,NA,NA
"2348","236153_at",2.16620425517909,6.85362069426468,4.21982891870926,0.000289086375820996,0.00724856613132075,0.280035050724869,NA,NA
"2397","237156_at",2.34672725163838,6.44870696020619,4.21956482624154,0.000289282300810371,0.00724856613132075,0.27938866057447,NA,NA
"2617","242287_at",1.87673244918799,7.32272807730217,4.22006729578403,0.000288909641728706,0.00724856613132075,0.280618504552991,NA,NA
"307","200613_at",-1.3967933577956,9.79585832613367,-4.21888785505963,0.000289785134811381,0.00725317216899686,0.277731736051281,"AP2M1","adaptor related protein complex 2 subunit mu 1"
"1824","224585_x_at",-0.939002525803994,13.171370902997,-4.21878505533773,0.00028986156724752,0.00725317216899686,0.277480130993766,NA,NA
"961","209250_at",1.20859165051375,11.8467617086805,4.21849628364788,0.000290076378483979,0.00725522689552221,0.276773358776366,"DEGS1","delta 4-desaturase, sphingolipid 1"
"40","1554388_at",1.73425148585497,5.71776007513482,4.21819514950415,0.00029030055427112,0.00725751385677801,0.276036335881246,NA,NA
"1791","223614_at",-1.05883324614697,9.43314589698609,-4.21746094030173,0.000290847849039261,0.00726787301015611,0.274239394157968,NA,NA
"1444","216527_at",1.97028927848137,7.0532977063008,4.2162458267957,0.000291755871727785,0.00727979363631532,0.271265550210139,NA,NA
"2227","232597_x_at",1.47406175057922,8.34418378785118,4.21635445537586,0.000291674581971439,0.00727979363631532,0.271531401107805,NA,NA
"2640","242742_at",2.0141388552612,4.60732700083755,4.21611009023198,0.000291857478752687,0.00727979363631532,0.270933358137073,NA,NA
"2680","243313_at",1.83334015952198,3.28331701609322,4.21624506349276,0.000291756443007968,0.00727979363631532,0.271263682152641,NA,NA
